Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios
Dólar (E.U.A.),29100516,8559619,168767215,34434236,154073971,1565039826
Euro (U.E.),0,0,1566838,0,46164,0
