Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios
Dólar (E.U.A.),22706090316,0,93944712388,432577527,68471591195,808460637101
Euro (U.E.),0,0,9814709344,0,0,0
Dólar (Canadá),0,0,10019759,0,0,0
Libra esterlina (Gran Bretaña),0,0,2534093,0,0,0
Dólar (Australia),0,0,697202,0,0,0
Corona (noruega),0,0,6497,0,0,0
Franco (Suiza),0,0,99039816,0,0,0
