Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Dólar (E.U.A.),3288214114,0.00,2124450331,64270617,3337810816,31282721007,0
Euro (U.E.),0,0,1350633437,0,0,0.00,0
Dólar (Canadá),0,0,117839,0,0,0.00,0
Libra esterlina (Gran Bretaña),0,0,3164358,0,0,0.00,0
Corona (noruega),0,0,594835,0,0,0.00,0
Dólar (Australia),0,0,1727252,0,0,0.00,0
