Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Libra esterlina (Gran Bretaña),0,9607,0,0,0,0,1
Franco (Suiza),0,399,0,0,0,0,1
Real (Brasil),0,4030,0,0,0,0,1
Dólar (Canadá),0,617,0,0,0,0,1
N. Sol (Perú),0,18,0,0,0,0,1
Peso (Uruguay),0,313,0,0,0,0,1
Peso (Chile),0,8920,0,0,0,0,1
Guaraní (Paraguay),0,285,0,0,0,0,1
Euro (U.E.),0,14540,0,3491,0,0,1
Dólar (E.U.A.),119014,1796318,0,1959891,98421,0,1
