Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Dólar (E.U.A.),204,0,406,0,0,100407,1
Real (Brasil),5,0,0,0,0,0,1
UVA (Argentina),0,0,62,0,0,0,1
