Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios
Dólar (E.U.A.),2.1,0,23125.1,3830.55,2357,7509.4
Euro (U.E.),0.9,0,0,0,0,257
