Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios,TieneActivosMonedaExtranjera
Dólar (E.U.A.),6106774,0,76129871,0,46262571,405619159,1
Corona (Suecia),0,0,76437584,0,0,0,1
