Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios
Dólar (E.U.A.),2007070.24,373361.82,603428.74,0,841094.66,0
Euro (U.E.),0,1723,0,0,0,0
