Moneda,ActivoInversiones,ActivoExistencias,PasivoDeudasComerciales,PasivoOtrasDeudas,ActivoCreditosComerciales,PasivoPrestamosBancarios
Dólar (E.U.A.),713495,11212009,232077,168685,1434720,12618148
Euro (U.E.),0,28534,0,2815,0,0
Peso (Uruguay),0,5067,0,0,0,0
Real (Brasil),0,20491,0,0,0,0
